run_num,kmer,context_window,epochs,run,Accuracy,F1 Score,Matthews Correlation,Precision,Recall,Runtime,Samples/sec,Steps/sec
1,-1,48,10,1,0.5568055284822041,0.25891675972152745,0.101952079159631,0.2857954267969777,0.6398922530438,125.2977,2988.857,186.811
2,-1,48,10,2,0.5572140764812535,0.255182585307809,0.10140370635292834,0.2835849535194809,0.6476129515621767,157.1256,2383.425,148.97
3,-1,64,10,1,0.5539723949724564,0.2611174645809392,0.10204131118501544,0.2873796251293382,0.6343585778161112,158.4579,2363.384,147.717
4,-1,64,10,2,0.5223459733989858,0.24937365089958116,0.09355090015011983,0.2841387590971885,0.6293509727226461,157.1215,2383.486,148.974
5,-1,128,10,1,0.5479883683981447,0.2508649149260584,0.10358803427196775,0.2822591591377556,0.6417953936966901,153.5136,2439.503,152.475
6,-1,128,10,2,0.5375610485531259,0.2568576201624356,0.09815665915107345,0.28674357345079626,0.6374225111722225,153.8544,2434.1,152.137
7,-1,256,10,1,0.5578202228589281,0.25629546394717806,0.09866491873163324,0.28383559509282563,0.6327798296913559,156.1436,2398.414,149.907
8,-1,256,10,2,0.5136196017591597,0.24261854061948226,0.09184291968100132,0.28144590676611864,0.6383531995834331,155.2368,2412.424,150.783
9,-1,512,10,1,0.5126956958266689,0.24626283341412664,0.08772971140590884,0.28323399101866714,0.6394811505372971,158.1103,2368.581,148.042
10,-1,512,10,2,0.5020520858645062,0.25023991379334515,0.09468148537970472,0.2878927866204709,0.6519074587867402,159.1991,2352.381,147.03
11,3,48,10,1,0.5659911828399159,0.26198469479928094,0.0970119673423886,0.285853066469947,0.6354625442812095,158.0565,2369.387,148.093
12,3,48,10,2,0.5428027460834132,0.2622990285990084,0.09264976693217417,0.28894066876139746,0.631927134786424,157.0259,2384.939,149.065
13,3,64,10,1,0.5249975300202672,0.2459751235300007,0.09609336408850098,0.2821470867722811,0.6500846841056134,154.1659,2429.182,151.83
14,3,64,10,2,0.5587574800332179,0.26497794952665255,0.1034849704438447,0.28899659580475634,0.6462387518259222,157.8938,2371.828,148.245
15,3,128,10,1,0.5287732612010243,0.26008904699843755,0.09439564141869522,0.28975730018209733,0.6427309379511825,156.2688,2396.492,149.787
16,3,128,10,2,0.5348480762195692,0.25730398037981744,0.09698052889390191,0.2873319287655212,0.6415285853032859,154.7059,2420.702,151.3
17,3,256,10,1,0.5701621107779234,0.2741655860337731,0.10526549675262974,0.29345612208098376,0.662215221595291,154.044,2431.104,151.95
18,3,256,10,2,0.5485758230373007,0.2669174560787945,0.09943570342766239,0.29135275979415265,0.6413330503573397,113.4035,3302.341,206.405
19,3,512,10,1,0.5433207742652144,0.2576391123631569,0.0999001449241445,0.2866849584733444,0.6334120831761569,114.0729,3282.961,205.193
